gene_id	mut_hf_R1	mut_hf_R2	mut_hf_R3	mut_nf_R1	mut_nf_R2	mut_nf_R3	wt_hf_R1	wt_hf_R2	wt_hf_R3	wt_nf_R1	wt_nf_R2	wt_nf_R3
ENSDARG00000000001	187	151.038	101	68	18	87	202.86	106.653	252.723	154	127	40.842
ENSDARG00000000002	0	44.962	0	0	0	4	9.14	4.347	49.277	0	0	20.158
ENSDARG00000000018	858	1104	961	1543	845	863	1252	1136	1088	986	1202	1648
ENSDARG00000000019	1423	2304	1622	882	906	853	1705	2105	2282	608	1081	1218
ENSDARG00000000068	426	600	246	326	130	279	328	469	600	201	159	347
ENSDARG00000000069	968.621	1297.335	964.669	1262.957	871.472	645.749	913.48	1414.683	1100.435	920.078	749.007	995.305
ENSDARG00000000086	289	729	474	216	231	131	280	345	495	115	307	381
ENSDARG00000000103	3113	6537.13	4864	4825	3100	4340	4063.658	4559	5919.653	3404	3786	5113
ENSDARG00000000142	0	17	7	16	9	0	0	25	33	0	22	0
ENSDARG00000000151	1118	1317	1782	813	718	477	1369	1435	1415	629	521	842
ENSDARG00000000161	892	1406	1256	1210	1044	861	1039	1103	1567	706	871	1500
ENSDARG00000000175	149	361	252	114	322	206	421	317	242	73	150	289
ENSDARG00000000183	2825.911	4176.202	3054.549	3090.793	3174.597	2798.922	2658.455	3455.94	3792.509	2329.987	2262.989	3309.605
ENSDARG00000000189	1864.365	2579.751	2138.113	1964.334	2325.79	1497.104	2152.816	2476.294	2537.777	1285.859	1471.543	1974.934
ENSDARG00000000212	961.089	1313.817	1150.451	1550.931	1001.338	1287.886	1142.545	949.06	1008.759	963.614	1133.203	1340.958
ENSDARG00000000229	797.013	1121.185	959.047	873.5	664.015	647.191	902.017	1189.292	1216.14	860.343	704.01	1243.879
ENSDARG00000000241	1221	1783	1117	1127	1046	825	1335	1565	1771	712	806	1125
ENSDARG00000000324	262	680	490	314	151	371	251	339	571	167	124	297
ENSDARG00000000349	0	0	0	0	0	0	0	0	10	0	0	0
ENSDARG00000000369	21	31	0	0	0	0	41	61	55	0	48	22
ENSDARG00000000370	920	2232	1253	824	765	607	982	1197	1817	437	875	1003
ENSDARG00000000380	1696	2381	2038.487	2183	1233	1587	2314.006	2041.001	2456.007	1386	1393	2128.016
ENSDARG00000000394	3782	5949	4311	3977	3279	4218	3805	4995	5671	3845	4287	4622
ENSDARG00000000423	117.724	207.982	161.16	141.187	151	67	104.959	213.698	275.581	0	33.902	37.784
ENSDARG00000000442	138.104	226.395	171.14	40	54.002	115.093	195.126	254.083	180.143	57.247	43.481	51.086
ENSDARG00000000460	0	0	0	0	0	0	0	0	2	0	0	3
ENSDARG00000000472	56	151	58	39	6	118	72	89	118	0	6	64
ENSDARG00000000474	0	3	0	0	0	5	0	12	5	52	0	0
ENSDARG00000000476	78	176	74	142	16	58	32	77	116	165	90	173
ENSDARG00000000489	289	487	464	416	616	341	730	390	630	335	338	511
ENSDARG00000000503	20813.999	30545	22180.993	22179.678	17169.548	17057	22097.58	25229	28761.774	15190	16879.027	21001.999
ENSDARG00000000516	14	0	10	34	25	5	72	10	35	0	30	36
ENSDARG00000000529	423	410	481	228	277	334	480	425	557	333	294	366
ENSDARG00000000540	565.316	781.558	481.143	697.992	415	569.3	470.145	639.541	769.799	665.789	320	607.797
ENSDARG00000000542	253.007	352.006	201	205	398	135.002	247	390.009	276	210	383.333	342
ENSDARG00000000551	468.515	613.44	387.621	425.549	568.981	300.357	457.009	644.349	734.742	422.826	366.35	520.888
ENSDARG00000000563	1212.658	1623	1099.956	2763.519	4457	2077.471	1840	1501.076	2195.998	2307	2513	4351.204
ENSDARG00000000567	969	1221	959	1171	1052	633	1259	1263	1255	829	816	965
ENSDARG00000000568	799	984	882	938	664	744	760	1036	884	489	802	1167
ENSDARG00000000588	27	67.453	6.2	0	7	81	15	41.633	104.786	1	19.203	12
ENSDARG00000000606	192	202	164	404	155	214	99	261	189	108	94	142
ENSDARG00000000631	2336	2944	2656	2503	2617	2034	2387	3181	3072	2576	2742	2756
ENSDARG00000000638	10	19	0	0	0	3	0	0	13	0	0	0
ENSDARG00000000651	32	61	74	56	101	67	100	18	43	136	133	52
ENSDARG00000000656	11	0	0	0	0	0	0	0	2	0	8	6
ENSDARG00000000666	483.001	700.751	509.999	749.999	844	480	543.999	923	853.949	1067.443	358.853	758
ENSDARG00000000690	23	13	45	0	24	26	68	64	47	27	20	77
ENSDARG00000000729	212.001	442	292	256	422	200	283	343	308	122	160	372
ENSDARG00000000730	58	111	56	127	72	146	116	127	160	189	125	84
ENSDARG00000000747	58.592	110	47.431	65.67	52.357	154	293	103	183	150	25.662	117
ENSDARG00000000760	252	360	323	198	70	204	314	225	333	76	169	156
ENSDARG00000000767	20.286	79.039	68.9	50.813	0	0	161.258	109.434	74.473	135.162	47.142	132.391
ENSDARG00000000779	627	1147	644	541	363	613	842	833	1153	443	639	840
ENSDARG00000000796	798.095	978.033	701.495	239	127.001	332.015	688.385	645.998	700.989	50	260	99.007
ENSDARG00000000804	151	108	103	78	131	121	100	117	143	0	102	108
ENSDARG00000000830	209	625	324	382	240	276	384	398	391	310	243	420
ENSDARG00000000837	57.652	145.991	152.01	69.059	0	18.001	19.644	67.631	66.082	21	19.172	6.014
ENSDARG00000000853	2316.898	4439.759	3377.055	2732.311	2555.326	2219.81	3296.942	3166.759	4017.25	2190.121	2228.17	2791.561
ENSDARG00000000857	694.861	803.663	565.863	800.464	491.711	346.85	581.247	834.903	729.042	570.625	405.009	552.447
ENSDARG00000000861	2649.001	4240.831	2936	3354.001	2554	2219	2973	3932.484	4600.999	3647	2571.001	3559
ENSDARG00000000887	24	4	6	89	155	12	26	9	36	51	28	37
ENSDARG00000000906	0	23	19	27	0	61	26	17	52	0	21	32
ENSDARG00000000935	226.102	136.968	149.269	163.69	300.771	195.82	186.68	228.616	307.654	18	63.179	330.994
ENSDARG00000000943	597	1199	747	755	639	460	777	910	947	503	675	623.001
ENSDARG00000000966	5791	8527	6208.999	5757	4704	4344	6629	7563	7755	4101	4801	5338
ENSDARG00000001014	283.886	1033.354	673.451	594.965	499.963	415.338	625.771	452.346	653.411	424.713	315	552.817
ENSDARG00000001015	1272.442	1771.415	953.377	1276.775	578.751	690.476	1347.802	1840.799	1788.297	1252.976	724.303	1140.684
ENSDARG00000001057	701	1558	1260	1340	1075	1111	1213	1278	1267	1061	749	1650
ENSDARG00000001127	18	46	73	0	0	3	0	7	34	7	0	0
ENSDARG00000001129	1799	2293	1551	1274	1461	1179	1643	1691	2307	1521	1343	1929
ENSDARG00000001154	1104	1988	1348	784	689	882.999	1854.001	1424	1794	509.999	740	1004
ENSDARG00000001162	4970.314	7500.002	6603	7093	4444	5960	6389.023	7284.157	9671	6899	6520	7591
ENSDARG00000001169	206.001	188	143.745	66	136	303	129	138	251.378	11	95	181.017
ENSDARG00000001210	508	1031	673	638	522	604	585	633	761	368	480	620
ENSDARG00000001220	5117	7968	6141	5719	6173	4587	5331	6171	7221	3893	5302	7262
ENSDARG00000001234	539	743	752	568	564	657	791	787	961	438	432	744
ENSDARG00000001241	3321.001	4689.999	3753	3912	3696.999	3653.001	4014	4059	4509.999	3575	3162	4579
ENSDARG00000001244	18722	27075.999	21582	18503	15302	11563	22683.001	22253	28164.999	11176	10876	17316.001
ENSDARG00000001249	309	341	488	416	131	307	254	300	421	319	275	313
ENSDARG00000001259	0	0	7	0	0	17	27	0	1	0	0	21
ENSDARG00000001303	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000001313	24	17	11	131	141	63	18	63	107	105	27	111
ENSDARG00000001354	42	94	35	128	20	181	36	88	71	119	67	59
ENSDARG00000001414	0	10	0	0	0	0	17	0	8	0	15	7
ENSDARG00000001431	246.029	509.191	409.731	315.513	484.305	176.544	516.092	396.109	601.866	219	273.205	400.147
ENSDARG00000001437	183	406	307	89	45	127	286	339	384	74	120	167
ENSDARG00000001442	93	198	133	241	68	79	201	146	327	343	134	123
ENSDARG00000001447	436.552	336.022	270.034	441.999	272.783	260.132	190.126	547.275	520.068	429.037	295.516	382.038
ENSDARG00000001452	8	4	21	50	0	16	62	20	16	49	120	29
ENSDARG00000001463	9400	12264	10892	10734.999	9763	8227	10956	12228.999	12700.001	8000	10442	14281
ENSDARG00000001470	259.938	479.684	378.049	302.021	153.457	197.661	279.956	435.289	364.101	334.946	229.311	315.334
ENSDARG00000001498	12.005	20.236	11.002	13.967	0	9	39	27	30.004	0	5.059	27.595
ENSDARG00000001549	19	35	82	84	58	7	12	39	82	0	28	12
ENSDARG00000001557	382.294	489	595	305.684	156	152	474	446	508.002	201	124	292
ENSDARG00000001558	199	256	199	291	215	227	232	221	430	259	205	362
ENSDARG00000001559	95	317	153	94	158	99	213	192	335	71	131	148
ENSDARG00000001572	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000001578	959	1671	995	1087	990	923	1224	1421	1498	943	876	1302
ENSDARG00000001621	235.047	370.472	378.103	226.97	40.951	70.203	395.602	350.012	333.503	39	84.715	265.867
ENSDARG00000001634	1874	2565	1847	1891	1337	1523	1823	2313	2342	1642	1473	1771
ENSDARG00000001656	0	0	0	0	0	26	0	0	0	0	0	0
ENSDARG00000001676	268.258	407.936	286.711	261.865	202.488	199.991	200.023	305.089	318.306	57.016	90.67	151.083
ENSDARG00000001686	565	1019	698	611	420	459	728	839	952	442	541	840
ENSDARG00000001710	1548.6	2416.6	1287.29	1437.428	1326.559	709.313	1342.397	2299.408	2676.293	1108.996	1210.338	1616.691
ENSDARG00000001712	52.669	104.387	6.992	93	99	103.657	44.928	62.587	88.893	46.001	92.996	112.693
ENSDARG00000001721	57	130	30	1	34	84	59	33	78	61	38	131
ENSDARG00000001729	1575	2684	2005	1725	1156	812	2036	2339	2618	1643	1642	1857
ENSDARG00000001733	608	613	535	265	536	181	605	629	815.001	532	289	528
ENSDARG00000001734	644	890	627	547	403	260	976	984	1076	262	338	349
ENSDARG00000001754	252	465	419	323	506	329	152	465	296	270	174	395
ENSDARG00000001760	113	73	66	110	111	97	108	130	113.51	33	90	80
ENSDARG00000001767	121	163.01	181.969	270	263	222	195	279.006	347	273	107	334
ENSDARG00000001769	49	231	112	0	100	35	207	76	156	0	69	106
ENSDARG00000001771	25	38	50	0	0	20	24	26	48	32	46	0
ENSDARG00000001776	6	78	71	0	4	11	32	24	54	0	0	9
ENSDARG00000001777	232	366	300	141	163	187	166	141	370	20	117	189
ENSDARG00000001781	90.862	55.392	126.97	192.24	37	78.58	92.812	68.481	84.101	100.031	0	24.065
ENSDARG00000001782	218.051	202.524	107.936	455.568	83.13	271.087	199.76	394.613	249.185	197.257	90.599	194.158
ENSDARG00000001785	715.89	1186.995	850.021	821.619	827.615	885.985	729.331	758.339	1010.758	767.514	931.996	803.753
ENSDARG00000001788	6915	11654	7911	9475	6100	8549	8388	9483	10984	5973	6497	8745
ENSDARG00000001803	510	876	606	691	1003	807	253	496	575	551	711	908
ENSDARG00000001804	129.151	84.139	45.764	212.669	47.643	112.425	20.164	67.332	35.067	47.145	178.367	132.305
ENSDARG00000001807	805.001	1045	581	1243.259	842	410.853	681	1166.001	1031.079	489	901.038	920.159
ENSDARG00000001817	0	12.001	28	0	0	0	5.002	0	6	0	0	0
ENSDARG00000001818	75.922	88.648	109	11	53.275	30.082	40.973	97.526	48.894	0	11.385	97.541
ENSDARG00000001825	72.294	134.671	105.894	180.171	220.474	105.635	77.191	145.769	96.275	53.006	87.612	190.622
ENSDARG00000001829	6585.999	9941.596	7849.001	9192.161	5923.196	7713	8072.73	9314.476	10417.854	7210.651	6480.385	8067.284
ENSDARG00000001835	1783.803	2509.175	2060.7	1657.441	1764.947	1779.764	1791.923	1832.813	2168.115	1378.298	1782.517	2712.849
ENSDARG00000001857	51	155	138	28	139	174	136	67	169	0	26	82
ENSDARG00000001859	114	209	106	182	177	114	106	126	114	256	155	151
ENSDARG00000001870	834.706	1476.872	920.344	1534.297	1755.352	2023.25	837.612	1067.613	922.85	1624.032	1698.811	1222.368
ENSDARG00000001873	481	939	830	862	559	687	666	642	894	479	462	801
ENSDARG00000001879	249	447	313	246	266	283.004	172	379	298	264	146	199
ENSDARG00000001880	1616	2743	2156	1387	1280.999	1504	1684	2084	2501	1685	1340	1542
ENSDARG00000001881	7	13	21	0	1	34	0	0	0	0	0	0
ENSDARG00000001882	118	276.977	220	226	250	66	119	118	395	26	180	276
ENSDARG00000001888	185	431	279	326	151	186	523	263	500	287	170	176
ENSDARG00000001889	11521.02	20629.663	15129.593	16096.547	8005.281	10417.026	13322.008	14775.967	18254.868	8626.827	7142.993	9703.784
ENSDARG00000001890	1370.43	1927.842	1605.598	1318.617	1302.762	1174.336	1395.36	1897.486	1959.817	1091.415	1097.156	1317.768
ENSDARG00000001891	114	259	114	104	115	22	166	135	252	35	137	66
ENSDARG00000001897	807.154	1244	1113	1002.935	755.599	979.931	1255	1371.806	1553.618	998.985	892	909
ENSDARG00000001898	194	343	178.017	195.045	116	383	89	263.005	237.004	144	136.022	107
ENSDARG00000001906	44	12	17	0	20	0	27	55	46	29	31	21
ENSDARG00000001909	531.715	1097.582	954.484	485	364	359	646	977.689	757.534	326	324	518.973
ENSDARG00000001910	3292	5271	3472	3500	3391	2666	3918	5191	5241	3347	2986	3818
ENSDARG00000001912	142.481	211.755	68.854	172	230.431	95.418	170.165	247.981	239.471	56.618	174	93.254
ENSDARG00000001913	313.538	453.34	562.952	121	76.024	169.299	452.909	410.948	485.905	137	136.017	234.96
ENSDARG00000001929	598.009	778	578.099	362.002	610	651	567.009	976	892	867.007	575	726
ENSDARG00000001930	570.563	765.475	498.906	875.343	593.953	241.159	634.009	794.42	801.232	421.341	764.08	978.183
ENSDARG00000001933	25	30	39	30	0	0	0	9	21	25	0	13
ENSDARG00000001937	467.861	424.181	209.985	357.409	347.693	500.594	367.554	367.14	419.881	210.413	260.554	376.672
ENSDARG00000001939	239	375	414	300	415	225	220	437	402	353	156	320
ENSDARG00000001940	1250.001	1738.999	1633	1483	1755	1174	1349	1341	1437	1412	1168	1815
ENSDARG00000001950	3252	8324	5279	7187	6660	6183	5347	5639	6942	5179	4512	5606
ENSDARG00000001953	565.803	1163.477	651	1170.949	1238	1434.384	587.229	749	781.801	990	747.694	932
ENSDARG00000001968	0	11	0	0	0	0	0	0	2	0	6	0
ENSDARG00000001969	569.958	745.977	587.196	496.808	457.108	476.251	396.002	557.728	667.516	379.033	380.042	596.452
ENSDARG00000001971	0	0	0	0	0	14	0	10	0	0	11	0
ENSDARG00000001975	851	966	1159	845	683	798	969	795	721	561	556	869
ENSDARG00000001976	1635	2416	2130	1422	750	1018	2220	2636	2311	451	1336	1197
ENSDARG00000001993	155	481.993	210	502	403	698	266	288	289	530	359	615
ENSDARG00000001994	12907	16326	11799	13998	15195	9159	13506	17371	16959	8799	10799	14860
ENSDARG00000001999	921.027	1150.563	1167.567	630	433	481	712.001	1133.155	1023.514	407.059	226.755	682.607
ENSDARG00000002002	99	111	150	46	83	130	90	88	88	33	135	126
ENSDARG00000002006	542.016	696.618	470.132	828.371	847.059	489.531	697.391	1047.894	884.515	618.83	617.159	748.201
ENSDARG00000002013	120	134	198	119	147	48	219	238	259	110	87	99
ENSDARG00000002016	385	661	617	698	503	390	582	484	739	83	472	614
ENSDARG00000002020	489	997	605	600	690	445	747	1173	1245	443	557	775
ENSDARG00000002021	236	509	264	275	227	213	246	319	426	253	192	291
ENSDARG00000002026	1	32	18	40	0	31	45	4	46	0	18	15
ENSDARG00000002031	180	347	210	377	227	260	362	239	254	75	140	226
ENSDARG00000002037	569	760	281	615	902	419	505	806	633	536	327	439
ENSDARG00000002060	221.654	224.373	110.169	198.473	185.4	225.57	89.328	126.495	224.604	112.556	125.788	193.78
ENSDARG00000002071	29	149	33	38	28	42	41	63	74	0	38	12
ENSDARG00000002077	91	187	173	118	29	137	145	203	213	279	153	239
ENSDARG00000002082	2194	3080	2576	2471	1989	1664	2715	2933.997	3111	1880	2008	2108
ENSDARG00000002084	176	273	165	173	177	146	134	177	243	119	81	83
ENSDARG00000002097	0	0	0	0	0	21.432	1	0	0	0	0	53.392
ENSDARG00000002127	1585	2306	1961	1544	1094	983	2095	2355	2547	875	1684	1954
ENSDARG00000002128	403	642	564	769	500	517	454	492	578	809	782	744
ENSDARG00000002131	51	227	215	133	60	20	117.999	225.999	209.001	32	131	52
ENSDARG00000002165	5	79	26	25	80	24	83	52	51	0	51	46
ENSDARG00000002167	75	219	131	87	21	3	142	132	80	41	42	63
ENSDARG00000002168	1873	3223.001	2511	3900	2834.999	2500	3071.001	2812	3030.001	3398	2745	3900
ENSDARG00000002172	135	247	292	231	146	189	178	184	211	229	204	52
ENSDARG00000002174	128	243	268	145	173	130	167	206	319	175	146	137
ENSDARG00000002184	700	906	735	700	695	437	727	903	1206	219	695	978
ENSDARG00000002190	806	1517	1188	1343	912	1222	1009	1514	1632	688	1196	1339
ENSDARG00000002192	7	33	22	34	33	24	31	23	31	0	72	34
ENSDARG00000002193	106124	135637	132481	70705	57928	65992	124852	105733	113389	61340	62919	82436
ENSDARG00000002194	6	31	40	0	15	0	4	2	7	0	12	36
ENSDARG00000002196	544.269	311.574	241.683	527.951	252.121	483.404	397.19	338.166	373.473	315.356	415.889	396.389
ENSDARG00000002197	473	742	415	572	286	351	588	446	638	361	293	447
ENSDARG00000002204	61	135	40	83	68	26	57	120	98	125	69	72
ENSDARG00000002210	272	721	217	534	408	505	517	376	440	139.999	484	228
ENSDARG00000002213	19	59	0	0	57	69	57	40	2	0	41	78
ENSDARG00000002215	261	538	402	277	386	108	497	595	481	193	220	306
ENSDARG00000002216	1258	2086	1539	1150	1000	1045	1564.981	1999.002	1936	1323	933	1622
ENSDARG00000002217	3832.195	5794.722	4049.136	3769.897	3548.283	2988.787	3707.82	5134.669	5908.563	3115.73	3767.12	4910.899
ENSDARG00000002219	79	15.972	25	17	26	63	25	74	43	0	0	18
ENSDARG00000002220	545	809	611	544	140	649	474	711	861	481	551	515
ENSDARG00000002230	10037.665	12146.375	9321.057	12405.005	10315.498	7645.502	11354.888	14017.619	13018.095	8500	8331.318	12634.108
ENSDARG00000002231	5	23	0	0	14	0	13	0	20	0	0	17
ENSDARG00000002235	94	137	87	135	143	114	111	128	213	164	126	351
ENSDARG00000002240	1044	1881	1702	1955	1001	1326	1372	1483	1774	1167	1240	1311
ENSDARG00000002241	8	28	56	34	0	0	18	23	59	0	0	13
ENSDARG00000002249	580	789	460	787	301	327	562	762	880	304	292	406
ENSDARG00000002255	7672	10211	9353	7944	7411	7049	8021	8617	11099	5602	6847	8588
ENSDARG00000002259	0	0	0	21	0	0	0	0	0	0	0	0
ENSDARG00000002264	414	660	495	588	502	531	460	511	587	358	591	683
ENSDARG00000002267	579	1008	828	797	600	749	582	801	711	607	643	794
ENSDARG00000002271	2286	4001	3055	2985	2928	2577	2622	2472	3357	2080	2506	2884
ENSDARG00000002285	416	330	225	418	253	461	217	335	394	268	425	351
ENSDARG00000002293	0	18.945	0	25	0	0	0	10.646	1	0	0	0
ENSDARG00000002295	0	12	0	0	0	0	0	0	0	0	0	20
ENSDARG00000002298	103	157	104	116	53	41	44	129	127	67	97	72
ENSDARG00000002299	4	49	5	0	0	0	21	0	5	0	0	2
ENSDARG00000002300	1453.87	1945.907	1645.857	2085.528	1521.73	1556.572	1284.298	1663.602	2154.643	1340.324	1811.623	1394.123
ENSDARG00000002304	79	85	94	59	20	89	19	62	116	58	30	115
ENSDARG00000002305	831	1151	1065	1197	1088	731	854	1043	1257	812	899	1493
ENSDARG00000002311	47	84.896	70	37	56	51	106	148	153.991	77.822	31	58
ENSDARG00000002330	167	341	267	224	199	199	173	167	154	29	68	159
ENSDARG00000002332	552	697	498	702	593	500	693	632	843	525	508	707
ENSDARG00000002333	93	103	88	66	60	111	53	53	67	74	53	51
ENSDARG00000002336	1440	1941	1521	2405	1639	1741	1668	2092	2103	1706	1269	2169
ENSDARG00000002339	796	978	999	1200	663	632	1028	967	1101	700	707	1077
ENSDARG00000002344	13109.943	22569.298	17209.815	18831.95	12362.622	14931.928	14460.903	15099.818	17543.024	14480.507	12467.065	13808.697
ENSDARG00000002347	0	0	26	0	0	0	0	9	0	0	0	6
ENSDARG00000002353	333.799	234.377	181.418	166.622	441.906	197.97	372.197	301.118	306.242	140.555	199.479	256.893
ENSDARG00000002355	0	43	18	0	45	0	0	0	0	0	4	2
ENSDARG00000002362	1183	1477	1023	851	1423	952	1033	1813	1597	684	1107	1198
ENSDARG00000002365	195	431	397	290	155	206	379	391	529	184	165	254
ENSDARG00000002369	3262.731	5689.431	3826.539	3683.679	2505.193	3658.56	3908.315	3638.035	4184.508	2379.812	2501.896	3153.208
ENSDARG00000002377	101	86	89	150	55	23	160	173	125	55	30	112
ENSDARG00000002385	170	291	250	73	142	212	232	303	314	196	20	144
ENSDARG00000002391	51	53	21	39	0	78	70	18	21	39	83	86
ENSDARG00000002394	0	0	0	0	0	0	0	0	0	32	0	0
ENSDARG00000002396	1377	1510	1257	5890	4290	4453	547	1042	980	4144	3706	4282
ENSDARG00000002401	156.07	234	201.698	384.004	275	128.999	108.999	276.97	328.994	103	77	191.032
ENSDARG00000002402	322	789	486	242	169	170	258	419	755	191	277	334
ENSDARG00000002403	175	370	203	199	114	190	172	295	349	166	143	341
ENSDARG00000002405	505.007	625.894	444.102	610.036	653.79	771.449	401	628.922	794.261	607.729	505	1039.348
ENSDARG00000002406	15	24	14	35	54	0	73	22	24	27	31	19
ENSDARG00000002411	15	54	9	1	0	0	0	3	4	0	0	0
ENSDARG00000002445	148	99	135	204	47	45	79	290	133	151	176	193
ENSDARG00000002463	11	60	39	0	0	17	15	8	13	0	21	0
ENSDARG00000002467	486	881	471	462	472	366	458	708	713	474	624	748
ENSDARG00000002479	213	233	115	121	30	69	133	188	229	77	100	219
ENSDARG00000002483	3	8	0	0	0	0	19	0	0	0	0	11
ENSDARG00000002487	226	498	469	624	354	493	502	466	425	498	520	523
ENSDARG00000002494	63.93	70.364	84.705	23.187	148.421	38.61	27.657	99.85	98.244	55.793	17.756	67.089
ENSDARG00000002506	674	1340	872	867	866	546	1006	1356	1651	757	852	1029
ENSDARG00000002507	1278.927	2233.308	2117.841	2192.709	1639.563	500.319	1314.211	1548.81	3484.417	1185.925	530.142	1500.854
ENSDARG00000002508	375.011	517.03	380.005	406.025	264.009	317	473.086	399.001	328.037	434.027	365	337.009
ENSDARG00000002509	20	40	16	1	46	11	59	44	28	22	16	0
ENSDARG00000002510	0	12	5	0	0	0	0	0	5	0	0	11
ENSDARG00000002523	1101.482	1914.772	1368.317	1556.244	1022.17	1523.541	1612.744	1770.954	2171.06	1064.03	1237.646	1636.295
ENSDARG00000002533	10	52	25	0	38	22	0	21	12	0	32	14
ENSDARG00000002536	357	380	351	176	186	216	211	377	425	214	269	208
ENSDARG00000002538	703	1038	840	1130	947	915	644	982	1271	622	898	884
ENSDARG00000002546	2196	3132	2565	1965	1833	2516	2115	2948	3284	1481	2088	2996
ENSDARG00000002549	372.887	515.24	476.635	502.204	382.027	549.152	471.044	465.839	497.343	342.226	459.074	703.166
ENSDARG00000002552	306	604	384	500	297	190	453	737	486	241	284	360
ENSDARG00000002564	202	488	173	62	134	179	201	296	403	143	69	35
ENSDARG00000002571	13	39	65	20	0	40	25	33	26	0	43	42
ENSDARG00000002576	1427.553	2281.026	1885.245	2618.225	1754.112	2150.963	1362.76	1693.492	1888.772	1207.275	1622.012	1717.918
ENSDARG00000002582	166.658	295.894	285.767	276.62	181.248	237.206	331.005	390.533	468.801	119.288	254.7	324.855
ENSDARG00000002587	4273	6837.932	3908	4983	4382	3229	4716	5777.953	6474.951	3196	4977	5311
ENSDARG00000002589	335	889	450	589	1049	459	865	753	934	535	693	777
ENSDARG00000002591	727	969	847	775	651	710	494	732	967	657	610	709
ENSDARG00000002593	363	594	503	587	265	322	461	428	505	270	326	496
ENSDARG00000002597	26	9	19	21	45	58	0	96	25	0	0	3
ENSDARG00000002600	68	174	109	0	19	19	84	7	60	49	8	26
ENSDARG00000002601	350	581	505	282	257	349	218	340	420	466	379	555
ENSDARG00000002607	264	697	403	248	177	165	354	403	523	164	140	225
ENSDARG00000002609	2521	2841	2263	3237	2400	2237	2442	3276	3200	2484	2848	2672
ENSDARG00000002613	78	142	161	74	61	11	88	140	99	72	97	85
ENSDARG00000002632	1591	1901	1336	1883	1550	1583	1524	1710	1910	1429	1709	2158
ENSDARG00000002634	0	5	0	0	0	16	0	15	12	0	0	0
ENSDARG00000002635	2222	3984	3025	2801	2234	2091	2546	2823	3351	2112	1944	2650
ENSDARG00000002642	48	175	96	48	19	20	241	118	193	21	35	50
ENSDARG00000002644	495	491.597	354	628	394	327	309	472	708	354	268	547
ENSDARG00000002656	3696.056	4561.749	3435.98	4297.908	3939	3005.053	3679.252	4508.21	4322.87	2545	3293	4023.378
ENSDARG00000002659	2591	3475.99	3066	2552	2401	1591.001	2836	3481	3679	1581	2729	4050
ENSDARG00000002663	508	574	388	894	456	501	476	556	520	295	663	471
ENSDARG00000002666	447	622	536	1054	559	607	501	464	655	654	482	638
ENSDARG00000002670	500.531	709.464	540.941	711.885	312.014	440.997	784.516	873.001	823.704	366.968	648.752	864.913
ENSDARG00000002682	1901.354	2635.952	2048.896	3614.327	3074.016	2242.002	1879	2171.176	2222.704	2584.219	2938.007	3725.2
ENSDARG00000002685	50.666	0	8.748	0	28.706	0.935	0	46.215	16.863	0	0	4.466
ENSDARG00000002690	273	333	155	246	152	128	203	318	189	257	56	222
ENSDARG00000002696	46578	73531	51534	26166	17918	24339	52533	65664	62387	26096	20548	28938.001
ENSDARG00000002701	144.183	179.716	73.709	176.976	81.646	65.895	134.655	117.5	128.27	100.604	68.397	51.92
ENSDARG00000002707	6	11	14	0	0	19	0	0	7	0	0	19
ENSDARG00000002710	4843	8389	5864	6701	4561	5975	5375	6437	6189	4993	4647	6241
ENSDARG00000002720	89	375	325	362	248	118	269	281	231	253	304	292
ENSDARG00000002722	0	16	22	0	30	0	0	0	16	0	1	0
ENSDARG00000002728	0	13	32	0	54	0	42	0	10	0	17	0
ENSDARG00000002731	146	519	164	110	154	84	85	188	209	28	44	116
ENSDARG00000002732	125	104	76	97	147	137	117	99	105	59	126	39
ENSDARG00000002745	2543	3573.999	2594	4010	3387	3197	2428	2561	2869	2694	3100	3089
ENSDARG00000002748	2293.808	3800.776	3298.269	3876.438	2496.729	2455.592	2838.464	2593.829	3723.986	2041.806	2575.653	2682.838
ENSDARG00000002750	515	690	623	376	414	267	380	553	596	315	350	320
ENSDARG00000002754	123	224	118	30	64	125	103	244	164	168	32	128
ENSDARG00000002758	16369	20887	16048	31236	25409	23266	20372	21235	26801	25215	25348	31551.001
ENSDARG00000002760	0	13	0	0	63	0	0	13	18	0	11	0
ENSDARG00000002764	18	32	22	65	0	0	56	53	39	0	0	38
ENSDARG00000002768	2205	4943	2715	2980	4253	2986	3571	4051	5207	3181	3228	4131
ENSDARG00000002771	1572.496	1842.879	1577.659	1123.414	750.477	874.489	1392.89	1851.399	1697.636	650.083	872.135	1006.58
ENSDARG00000002779	126	168	206	175	49	85	210	169	100	117	100	112
ENSDARG00000002787	4755	6644.102	5353.12	8140	5479.139	5464	4608	5222	6152	5381	6209.023	7600.001
ENSDARG00000002790	8361.001	11226.293	10171	10412.999	7421	7487	9681	9191.309	11492.789	7829	8341	8347
ENSDARG00000002791	2614.263	4550.459	2844.602	2883.272	2486.633	2666.189	2709.549	3018.772	4059.559	2036.156	2055.354	2473.981
ENSDARG00000002792	983	1433	1083	907	836	597	1131	1279	1290	1049	773	1047
ENSDARG00000002795	361	720	380	652	588	530	331	494	599	466	527	590
